Date,Marketing Spend,Promo
09/11/2020,651.375,No Promo
10/11/2020,1298.25,Promotion Red
11/11/2020,1559.375,Promotion Blue
12/11/2020,1801.75,No Promo
13/11/2020,2614.5,No Promo
14/11/2020,1444,Promotion Blue
15/11/2020,1325.444444,Promotion Blue
16/11/2020,1119.111111,No Promo
17/11/2020,1092.363636,Promotion Blue
18/11/2020,906.7,No Promo
19/11/2020,1605.454545,No Promo
20/11/2020,1687.555556,Promotion Red
21/11/2020,710.2727273,No Promo
22/11/2020,2745.375,Promotion Red
23/11/2020,4284.75,Promotion Blue
24/11/2020,1695.454545,Promotion Blue
25/11/2020,696.75,Promotion Blue
26/11/2020,1572.181818,Promotion Red
27/11/2020,,Promotion Red
28/11/2020,899,Promotion Red
29/11/2020,1330.875,Promotion Red
30/11/2020,1016,No Promo
01/12/2020,923,No Promo
02/12/2020,1425.4,Promotion Red
03/12/2020,1664.4,No Promo
04/12/2020,2575.875,Promotion Blue
05/12/2020,776.5,No Promo
06/12/2020,915.9090909,Promotion Red
07/12/2020,961.2,Promotion Red
08/12/2020,1450.125,No Promo
09/12/2020,1811.111111,No Promo
10/12/2020,1971.111111,No Promo
11/12/2020,1267.5,No Promo
12/12/2020,1010.777778,Promotion Blue
13/12/2020,,Promotion Blue
14/12/2020,1297.666667,Promotion Red
15/12/2020,1086.545455,Promotion Red
16/12/2020,1023.666667,No Promo
17/12/2020,1601.636364,No Promo
18/12/2020,2270.125,Promotion Blue
19/12/2020,880,Promotion Red
20/12/2020,1304.111111,No Promo
21/12/2020,1203.8,Promotion Blue
22/12/2020,1024.5,Promotion Red
23/12/2020,1181.7,Promotion Blue
24/12/2020,1955,No Promo
25/12/2020,2336.777778,Promotion Blue
26/12/2020,4535.375,Promotion Blue
27/12/2020,2557.111111,Promotion Blue
28/12/2020,782.8181818,No Promo
29/12/2020,779.3,Promotion Red
30/12/2020,918,Promotion Red
31/12/2020,2410,No Promo
01/01/2021,1948,Promotion Blue
02/01/2021,1006.888889,Promotion Blue
03/01/2021,1244,Promotion Blue
04/01/2021,1070.375,No Promo
05/01/2021,856.1818182,Promotion Red
06/01/2021,2862.888889,Promotion Red
07/01/2021,3014.6,No Promo
08/01/2021,1596.2,No Promo
09/01/2021,1406.125,Promotion Blue
10/01/2021,1516.125,Promotion Red
11/01/2021,912.5,No Promo
12/01/2021,870.2,Promotion Red
13/01/2021,834.3333333,No Promo
14/01/2021,2072.454545,Promotion Red
15/01/2021,2655.625,Promotion Blue
16/01/2021,1169.9,Promotion Blue
17/01/2021,960.2,Promotion Red
18/01/2021,784.8181818,Promotion Red
19/01/2021,728.7,Promotion Red
20/01/2021,841.9090909,No Promo
21/01/2021,1641.111111,No Promo
22/01/2021,2713,Promotion Blue
23/01/2021,1029.909091,No Promo
24/01/2021,1244.5,Promotion Red
25/01/2021,1365.625,Promotion Blue
26/01/2021,322,No Promo
27/01/2021,881.125,No Promo
28/01/2021,1425.777778,No Promo
29/01/2021,1447.111111,No Promo
30/01/2021,786,No Promo
31/01/2021,1035.111111,No Promo
01/02/2021,1047.9,Promotion Blue
02/02/2021,1162.090909,Promotion Blue
03/02/2021,1698,Promotion Blue
04/02/2021,1336,No Promo
05/02/2021,2207.625,Promotion Red
06/02/2021,909.5,Promotion Red
07/02/2021,836.2727273,No Promo
08/02/2021,929.4,No Promo
09/02/2021,2317.777778,Promotion Blue
10/02/2021,1511.333333,Promotion Blue
11/02/2021,818.25,No Promo
12/02/2021,937.2727273,No Promo
13/02/2021,424,No Promo
14/02/2021,524.7272727,Promotion Red
15/02/2021,907.9090909,Promotion Red
16/02/2021,935.7777778,No Promo
17/02/2021,780.9,No Promo
18/02/2021,3030.875,Promotion Blue
19/02/2021,1336.909091,No Promo
20/02/2021,803.375,No Promo
21/02/2021,829.1111111,No Promo
22/02/2021,837.1,No Promo
23/02/2021,1015,Promotion Red
24/02/2021,1371.9,Promotion Blue
25/02/2021,2529.625,Promotion Blue
26/02/2021,2418.909091,Promotion Blue
27/02/2021,1278.9,Promotion Red
28/02/2021,1337.333333,No Promo
01/03/2021,1468,Promotion Blue
02/03/2021,615.5,No Promo
03/03/2021,822.3,Promotion Red
04/03/2021,1672.7,Promotion Blue
05/03/2021,1719.333333,Promotion Blue
06/03/2021,1427.777778,Promotion Blue
07/03/2021,668.1,No Promo
08/03/2021,926.4444444,No Promo
09/03/2021,779,No Promo
10/03/2021,1613.818182,Promotion Red
11/03/2021,2570.4,Promotion Blue
12/03/2021,1912.75,No Promo
13/03/2021,3524.5,Promotion Blue
14/03/2021,787.8,Promotion Blue
15/03/2021,734.8181818,No Promo
16/03/2021,939.75,No Promo
17/03/2021,1826,No Promo
18/03/2021,1490.9,Promotion Red
19/03/2021,590.3,Promotion Red
20/03/2021,521.125,Promotion Red
21/03/2021,862.3636364,Promotion Red
22/03/2021,1151.125,Promotion Red
23/03/2021,1277.111111,Promotion Blue
24/03/2021,,Promotion Red
25/03/2021,2837.625,Promotion Red
26/03/2021,2258.7,Promotion Blue
27/03/2021,868.8888889,No Promo
28/03/2021,1620.777778,Promotion Blue
29/03/2021,842,Promotion Red
30/03/2021,866,No Promo
31/03/2021,1869.625,Promotion Red
01/04/2021,2921,Promotion Blue
02/04/2021,1972.75,No Promo
03/04/2021,1336.333333,Promotion Red
04/04/2021,754.5,No Promo
05/04/2021,763.2727273,Promotion Red
06/04/2021,882.8,Promotion Red
07/04/2021,1677.7,Promotion Red
08/04/2021,1803.909091,Promotion Red
09/04/2021,2652.222222,Promotion Blue
10/04/2021,1043.1,No Promo
11/04/2021,1020.090909,Promotion Blue
12/04/2021,1114.111111,Promotion Red
13/04/2021,1148.4,Promotion Blue
14/04/2021,1634.7,Promotion Blue
15/04/2021,1758.666667,No Promo
16/04/2021,1337.636364,No Promo
17/04/2021,865.4545455,No Promo
18/04/2021,1531.375,Promotion Blue
19/04/2021,964.5,Promotion Red
20/04/2021,784.2222222,No Promo
21/04/2021,732.3333333,No Promo
22/04/2021,2227.818182,Promotion Blue
23/04/2021,1595.333333,No Promo
24/04/2021,850.9090909,Promotion Red
25/04/2021,1059.090909,Promotion Blue
26/04/2021,843.8,No Promo
27/04/2021,731.4545455,Promotion Red
28/04/2021,1060,Promotion Blue
29/04/2021,2059.545455,Promotion Blue
30/04/2021,1916.7,Promotion Blue
01/05/2021,805.6363636,No Promo
02/05/2021,1513.875,Promotion Red
03/05/2021,1024.818182,Promotion Red
04/05/2021,1533.888889,No Promo
05/05/2021,1119.6,No Promo
06/05/2021,2067.888889,Promotion Red
07/05/2021,,No Promo
08/05/2021,1121.875,No Promo
09/05/2021,871,No Promo
10/05/2021,NULL,NULL
11/05/2021,NULL,NULL
12/05/2021,NULL,NULL
